"","year","month","date","home","away","h_points","a_points","winner","winning_margin","win_status","h_fg","a_fg","h_fga","a_fga","h_3p","a_3p","h_3pa","a_3pa","h_ft","a_ft","h_fta","a_fta","h_orb","a_orb","h_drb","a_drb","h_trb","a_trb","h_ast","a_ast","h_stl","a_stl","h_blk","a_blk","h_tov","a_tov","h_pf","a_pf","h_tsp","a_tsp","h_efgp","a_efgp","h_ortg","a_ortg","h_drtg","a_drtg"
"59",2016,11,6," TOR"," SAC",91,96," SAC",5,"Away",30,34,84,78,7,5,30,16,24,23,31,31,13,13,30,34,43,47,22,21,6,4,5,5,6,9,26,22,0.466,0.524,0.399,0.468,106.1,111.9,111.9,106.1
"60",2016,11,6," BOS"," DEN",107,123," DEN",16,"Away",41,44,90,84,8,11,25,23,17,24,21,31,11,9,28,38,39,47,31,21,3,7,4,6,11,17,24,23,0.539,0.63,0.5,0.589,106.7,122.6,122.6,106.7
"61",2016,11,7," PHI"," UTA",84,109," UTA",25,"Away",31,43,77,85,7,11,21,19,15,12,22,20,9,10,33,35,42,45,16,20,5,10,2,11,18,10,19,22,0.485,0.581,0.448,0.571,90.2,117,117,90.2
"62",2016,11,7," GSW"," NOP",116,106," GSW",10,"Home",45,39,90,80,16,7,35,21,10,21,12,27,10,11,28,32,38,43,35,26,14,8,4,1,15,19,17,16,0.609,0.577,0.589,0.531,118.5,108.3,108.3,118.5
"63",2016,11,7," LAC"," DET",114,82," LAC",32,"Home",41,30,76,82,13,4,25,12,19,18,22,26,2,11,44,28,46,39,28,14,8,5,7,2,10,11,20,19,0.665,0.439,0.625,0.39,123.5,88.9,88.9,123.5
"64",2016,11,8," CLE"," ATL",106,110," ATL",4,"Away",37,41,99,81,11,11,42,29,21,17,25,24,13,11,26,39,39,50,21,22,12,1,1,4,6,19,20,21,0.482,0.601,0.429,0.574,108.6,112.7,112.7,108.6
"65",2016,11,8," BRK"," MIN",119,110," BRK",9,"Home",42,39,76,92,12,12,33,28,23,20,26,28,5,15,38,26,43,41,20,20,5,11,5,3,20,16,19,21,0.68,0.527,0.632,0.489,116.8,108,108,116.8
"66",2016,11,8," MEM"," DEN",108,107," MEM",1,"Home",44,35,86,70,7,10,24,24,13,27,19,34,8,6,24,33,32,39,29,24,14,6,5,4,14,22,30,23,0.572,0.63,0.552,0.571,109.7,108.7,108.7,109.7
"67",2016,11,8," POR"," PHO",124,121," POR",3,"Home",45,43,81,86,14,7,31,21,20,28,28,33,7,15,28,26,35,41,22,18,5,10,4,2,20,16,27,27,0.664,0.602,0.642,0.541,122.1,119.1,119.1,122.1
"68",2016,11,8," SAC"," NOP",102,94," SAC",8,"Home",39,38,81,84,8,5,25,21,16,13,20,18,5,7,34,33,39,40,24,23,7,5,5,9,10,10,21,23,0.568,0.511,0.531,0.482,109.7,101.1,101.1,109.7
"69",2016,11,9," NYK"," BRK",110,96," NYK",14,"Home",44,33,92,79,10,11,30,33,12,19,17,27,9,7,41,33,50,40,25,19,11,9,5,4,14,18,21,20,0.553,0.528,0.533,0.487,108.7,94.9,94.9,108.7
"70",2016,11,9," ORL"," MIN",107,123," MIN",16,"Away",38,45,85,87,8,13,24,23,23,20,30,26,12,10,27,35,39,45,20,27,2,8,5,5,9,6,19,23,0.545,0.625,0.494,0.592,116,133.4,133.4,116
"71",2016,11,9," ATL"," CHI",115,107," ATL",8,"Home",42,41,83,91,9,9,20,27,22,16,27,21,13,8,35,23,48,31,24,24,8,14,7,3,21,13,20,21,0.606,0.534,0.56,0.5,114.2,106.3,106.3,114.2
